condition,pc_success,successes,episodes,videos,output_dir,eval_info,visual_relation_audit
standard,0.0000,0,40,40,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard/eval_info.json,
visual_goal_arrow,0.0000,0,3,3,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_20_41_02/visual_goal_arrow,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_20_41_02/visual_goal_arrow/eval_info.json,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_2026_07_24_20_41_02/visual_goal_arrow/visual_relation_audit.jsonl
