condition,pc_success,successes,episodes,videos,output_dir,eval_info,visual_relation_audit
standard,0.0000,0,40,40,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard/eval_info.json,
visual_arrows,,,,0,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_smoke_2026_07_24/visual_arrows,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_visual_ablation_smoke_2026_07_24/visual_arrows/visual_relation_audit.jsonl
